machine_id,machine_name,point_name,vms_product_number,vms_product_name,inventory_capacity,inventory_quantity,fill_percent_product,slot_code,par_level,min_level
2503000216,(HTMall),,19.0,mr bite,32.0,22.0,0.6875,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,10.0,Skittles,16.0,15.0,0.9375,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,30.0,Mars,16.0,15.0,0.9375,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,25.0,Twix,16.0,10.0,0.625,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,21.0,Laviva,16.0,10.0,0.625,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,28.0,Snickers,16.0,15.0,0.9375,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,14.0,Kinder Bueno,12.0,12.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,13.0,Ono cake,12.0,12.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,3.0,Maltesers,12.0,6.0,0.5,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,118.0,Haribo bears,16.0,15.0,0.9375,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,119.0,Turbo strips,8.0,1.0,0.125,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,82.0,L suntop,8.0,4.0,0.5,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,49.0,Haribo,16.0,15.0,0.9375,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,64.0,Almarai Strawberry,12.0,11.0,0.9166666667,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,32.0,SunTop Almarai Chocolate,13.0,12.0,0.9230769231,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,2.0,Water,60.0,26.0,0.4333333333,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,11.0,X!R,14.0,9.0,0.6428571429,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,98.0,Barbican,7.0,3.0,0.4285714286,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,99.0,Shani,7.0,5.0,0.7142857143,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,5.0,Schweppes,13.0,13.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,54.0,Mirinda,7.0,7.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,29.0,Pepsi,14.0,12.0,0.8571428571,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,15.0,kinza,7.0,5.0,0.7142857143,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000217,SeaCost,,120.0,Chillax chips,14.0,13.0,0.9285714286,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000217,SeaCost,,100.0,Mr Cruch veggy's,28.0,27.0,0.9642857143,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000217,SeaCost,,33.0,Corissant Karuzo,7.0,6.0,0.8571428571,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
