product_id,sku,name,description,image,selling_price,purchase_price,min_stock,importance,product_group,barcode,units_per_box,sku_generated
78233e6f,78233e6f,Barbican,,Items_Images/78233e6f.Image.214441.jpg,5.0,3.17,0.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0af806f8,0af806f8,Doritos red hot,,Items_Images/0af806f8.Image.215944.jpg,5.0,2.66,15.0,5.0,Doritos,TO_CONFIRM,15.0,no
bb6c2490,bb6c2490,Mr Crunch Tarbouch,,Items_Images/bb6c2490.Image.083508.jpg,5.0,2.78,0.0,5.0,Tiger,TO_CONFIRM,18.0,no
b77b1c64,b77b1c64,Bonucci souffle,,Items_Images/b77b1c64.Image.181723.jpg,3.0,1.58,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
83dd14b5,83dd14b5,Coach suntop,,Items_Images/83dd14b5.Image.102839.jpg,1.0,0.45,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,24.0,no
ccaf1c68,ccaf1c68,Wafer Laviva,,Items_Images/ccaf1c68.Image.151802.jpg,4.0,1.9,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
a3f74383,a3f74383,Shani,,Items_Images/a3f74383.Image.131747.jpg,3.0,2.25,7.0,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
ed187a9e,ed187a9e,X!R  BERRY,,Items_Images/ed187a9e.Image.133801.jpg,5.0,3.5,0.0,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
bfd1b639,bfd1b639,Xr mango,,Items_Images/bfd1b639.Image.133844.jpg,5.0,3.5,7.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
b112660a,b112660a,Caesar berry,,Items_Images/b112660a.Image.134147.jpg,5.0,TO_CONFIRM,7.0,3.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
649eaeb5,649eaeb5,Schwppes,,Items_Images/649eaeb5.Image.134405.jpg,3.0,TO_CONFIRM,7.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
f38e69c5,f38e69c5,Schweppes,,Items_Images/f38e69c5.Image.134437.jpg,3.0,TO_CONFIRM,7.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
3e9fa8d9,3e9fa8d9,Kinza cola,,Items_Images/3e9fa8d9.Image.135200.jpg,2.0,TO_CONFIRM,7.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
27febea6,27febea6,Maxxx chips,,Items_Images/27febea6.Image.140237.png,TO_CONFIRM,TO_CONFIRM,5.0,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
3945efc9,3945efc9,Mulino  oat cookies,,Items_Images/3945efc9.Image.140530.jpg,7.0,TO_CONFIRM,1.0,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
c099f042,c099f042,Tiger excellence,,Items_Images/c099f042.Image.140913.jpg,5.0,TO_CONFIRM,6.0,5.0,Tiger,TO_CONFIRM,20.0,no
cd21eb57,cd21eb57,Chillax corn chips,,Items_Images/cd21eb57.Image.141015.jpg,7.0,TO_CONFIRM,6.0,4.0,Tiger,TO_CONFIRM,TO_CONFIRM,no
b3204174,b3204174,Shocks potato,,Items_Images/b3204174.Image.141449.png,3.0,TO_CONFIRM,7.0,3.0,Tiger,TO_CONFIRM,TO_CONFIRM,no
360bd4d4,360bd4d4,Lexus,,Items_Images/360bd4d4.Image.142409.png,5.0,TO_CONFIRM,6.0,4.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
f30d8158,f30d8158,Savi stix,,Items_Images/f30d8158.Image.142437.png,5.0,TO_CONFIRM,6.0,3.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
cf6c9481,cf6c9481,Turbo strips,,Items_Images/cf6c9481.Image.142509.jpg,5.0,TO_CONFIRM,8.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
ee3cf870,ee3cf870,Wellness,,Items_Images/ee3cf870.Image.143045.jpg,3.0,TO_CONFIRM,1.0,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
7cd3aac7,7cd3aac7,Toblerone,,Items_Images/7cd3aac7.Image.143652.jpg,7.0,TO_CONFIRM,3.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
9d0be7b3,9d0be7b3,Milka choco cow,,Items_Images/9d0be7b3.Image.143817.jpg,TO_CONFIRM,TO_CONFIRM,1.0,1.0,Chocolate,TO_CONFIRM,TO_CONFIRM,no
0f694cb5,0f694cb5,Vitrac,,Items_Images/0f694cb5.Image.144236.png,5.0,TO_CONFIRM,5.0,2.0,TO_CONFIRM,TO_CONFIRM,12.0,no
d8e8d66a,d8e8d66a,Shada,,Items_Images/d8e8d66a.Image.150914.jpg,2.0,TO_CONFIRM,6.0,3.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
1b6b5ed6,1b6b5ed6,Rayhan,,Items_Images/1b6b5ed6.Image.151431.jpg,1.0,TO_CONFIRM,7.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
c80ae9f2,c80ae9f2,Yumi Zak,,Items_Images/c80ae9f2.Image.143421.jpg,6.5,4.5,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,12.0,no
1039e79c,1039e79c,Activ,,Items_Images/1039e79c.Image.143553.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
cb9e809e,cb9e809e,Sweeto Jelly,,Items_Images/cb9e809e.Image.163550.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,12.0,no
a19879cf,a19879cf,Galaxy Wafer roll,,Items_Images/a19879cf.Image.163903.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,Chocolate,TO_CONFIRM,24.0,no
27c8f623,27c8f623,Bounty Wafer roll,,Items_Images/27c8f623.Image.163946.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,Chocolate,TO_CONFIRM,24.0,no
02d86a9b,02d86a9b,Twix wafer roll,,Items_Images/02d86a9b.Image.164005.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,Chocolate,TO_CONFIRM,24.0,no
57a5617b,57a5617b,Mirinda orange,,Items_Images/57a5617b.Image.165309.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
bb4d1bd1,bb4d1bd1,Snickers wafer roll,,Items_Images/bb4d1bd1.Image.165314.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,Chocolate,TO_CONFIRM,24.0,no
406a1fee,406a1fee,Mirinda Bitter Soda,,Items_Images/406a1fee.Image.171214.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
561399a6,561399a6,Yupi,,Items_Images/561399a6.Image.173725.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
e9e2a383,e9e2a383,Be happy,,Items_Images/e9e2a383.Image.170336.jpg,5.0,TO_CONFIRM,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
8ed00567,8ed00567,BEM&Bo,,Items_Images/8ed00567.Image.180908.jpg,TO_CONFIRM,TO_CONFIRM,0.0,1.0,TO_CONFIRM,TO_CONFIRM,12.0,no
220a28b9,220a28b9,Milka,,Items_Images/220a28b9.Image.122356.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
f998044c,f998044c,Kinder schokolade,,Items_Images/f998044c.Image.122404.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
70bdbe11,70bdbe11,Schweppes pineapple,,Items_Images/70bdbe11.Image.185624.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,24.0,no
eda833ca,eda833ca,Mr crunch normal,,Items_Images/eda833ca.Image.175706.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,Tiger,TO_CONFIRM,18.0,no
951a092f,951a092f,Daddy chips,,Items_Images/951a092f.Image.181907.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,15.0,no
6c787857,6c787857,Minicco,,Items_Images/6c787857.Image.150737.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,24.0,no
7221daf3,7221daf3,Milka,,Items_Images/7221daf3.Image.215201.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,0.0,no
c22010ef,c22010ef,Doritos ketchup jalapeno,,Items_Images/c22010ef.Image.063449.jpg,5.0,TO_CONFIRM,5.0,TO_CONFIRM,Doritos,TO_CONFIRM,15.0,no
